P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
TES-M	PAS-C	BOU-S	0.197845	3.24534	0.00117311	0.0691914	129.899	80.1964	53.7047
TES-S	BOU-S	PAS-C	0.0281471	0.589558	0.555487	0.00747296	334.529	35.8681	33.9042
PAS-C	TRE-F	BOU-S	0.0264595	0.494869	0.620693	0.00629288	225.659	44.7012	42.3967
TRQ-F	PAS-C	BOU-S	0.0319146	0.561437	0.5745	0.00742309	242.759	44.3348	41.5924
REN-C	REN-HC	BOU-S	0.117987	1.59433	0.110862	0.0126829	420.353	26.2904	20.7413
BOU-S	REN-HS	REN-C	0.063879	0.986708	0.323786	0.0108723	263.779	42.849	37.7034
BOU-S	REN-S	REN-C	0.197809	2.73179	0.00629904	0.0333788	266.303	48.262	32.3218
RGG-C	BOU-S	REN-C	0.0368814	0.474706	0.634997	0.00755321	167.46	51.4246	47.7663
RGG-S	BOU-S	REN-C	0.107776	1.55095	0.120914	0.0115221	405.209	28.6878	23.1057
SLV-F	BOU-S	REN-C	0.0307592	0.363689	0.71609	0.00606295	151.794	48.7458	45.8366
SLV-M	BOU-S	REN-C	0.0648402	0.683003	0.494605	0.0141807	137.867	54.7904	48.1178
REN-C	BOU-S	SLV-O	0.00507364	0.0354387	0.97173	0.000168855	134.017	14.045	13.9032
SNM-C	BOU-S	REN-C	0.0845372	1.05348	0.292119	0.0162161	158.204	50.1469	42.3292
SNM-M	BOU-S	REN-C	0.060354	0.688943	0.490859	0.0134313	134.035	55.8829	49.5214
SNM-S	BOU-S	REN-C	0.0220714	0.272876	0.784949	0.00235435	392.805	25.9109	24.7918
TES-C	BOU-S	REN-C	0.0598794	0.809948	0.41797	0.0117915	170.757	50.5842	44.8686
TES-M	BOU-S	REN-C	0.0646922	0.660634	0.508847	0.0141852	133.989	55.6714	48.906
BOU-S	TES-S	REN-C	0.0290489	0.403809	0.686353	0.00290529	403.658	24.7276	23.3316
TRE-F	BOU-S	REN-C	0.053602	0.666387	0.505164	0.0106673	154.967	50.6103	45.4607
TRQ-F	BOU-S	REN-C	0.0812741	1.09612	0.273026	0.0156156	148.712	50.7353	43.1082
BOU-S	REN-HS	REN-HC	0.030573	0.507062	0.612111	0.00577647	260.248	42.8174	40.277
BOU-S	REN-S	REN-HC	0.150632	2.24344	0.0248682	0.0281594	262.685	47.7749	35.2663
RGG-C	BOU-S	REN-HC	0.0598716	0.763186	0.445352	0.0133408	163.855	53.4723	47.431
RGG-S	BOU-S	REN-HC	0.105155	1.55774	0.119295	0.0123661	402.25	29.203	23.6457
SLV-F	BOU-S	REN-HC	0.070223	0.877519	0.380205	0.0150721	147.212	51.5461	44.7817
SLV-M	BOU-S	REN-HC	0.0875387	1.00817	0.313373	0.0208929	133.51	57.3291	48.1
REN-HC	BOU-S	SLV-O	0.0345306	0.250772	0.80199	0.00129427	134.194	16.2778	15.1911
SNM-C	BOU-S	REN-HC	0.120666	1.74292	0.0813484	0.0255415	153.448	53.7532	42.1775
SNM-M	BOU-S	REN-HC	0.0668423	0.797895	0.424931	0.016331	129.778	57.37	50.181
SNM-S	BOU-S	REN-HC	0.0343318	0.457028	0.647651	0.00390638	389.708	25.9735	24.2493
TES-C	BOU-S	REN-HC	0.0965096	1.37792	0.168229	0.020995	166.445	54.2518	44.7019
TES-M	BOU-S	REN-HC	0.0528285	0.575088	0.565232	0.0127076	130.065	56.2136	50.5722
BOU-S	TES-S	REN-HC	0.0332033	0.481902	0.629876	0.00373488	400.553	25.9349	24.268
TRE-F	BOU-S	REN-HC	0.080956	1.05342	0.292147	0.0175825	149.948	53.0704	45.1212
TRQ-F	BOU-S	REN-HC	0.107295	1.40256	0.160749	0.0225018	144.129	53.0139	42.74
REN-HS	REN-S	BOU-S	0.0537128	1.43363	0.151678	0.0343055	124.651	78.6235	70.6079
REN-HS	BOU-S	RGG-C	0.0821129	1.42934	0.152908	0.0380523	179.4	62.6434	53.1364
BOU-S	RGG-S	REN-HS	0.0043386	0.0956134	0.923828	0.0033812	212.836	50.3014	49.8668
REN-HS	BOU-S	SLV-F	0.094313	1.45557	0.145512	0.0311457	190.127	61.3592	50.7828
REN-HS	BOU-S	SLV-M	0.0158873	0.231223	0.817142	0.00356147	190.671	45.8874	44.4521
REN-HS	BOU-S	SLV-O	0.0162885	0.120743	0.903895	0.00041875	206.165	11.3851	11.0201
REN-HS	BOU-S	SNM-C	0.117289	1.99644	0.0458857	0.0425543	181.561	59.4713	46.9851
REN-HS	BOU-S	SNM-M	0.000691321	0.0102332	0.991835	0.000147693	197.144	45.2825	45.2199
BOU-S	SNM-S	REN-HS	0.037212	0.838091	0.401979	0.0285761	199.761	51.5805	47.8794
REN-HS	BOU-S	TES-C	0.106481	1.89108	0.0586131	0.0458437	175.01	65.1264	52.5916
BOU-S	REN-HS	TES-M	0.0113759	0.163321	0.870265	0.00240334	195.361	45.3758	44.355
BOU-S	TES-S	REN-HS	0.0293409	0.585711	0.55807	0.0218212	213.698	50.455	47.5786
REN-HS	BOU-S	TRE-F	0.0732349	1.19164	0.233404	0.0269886	189.47	61.1635	52.8162
REN-HS	BOU-S	TRQ-F	0.0886707	1.43429	0.151488	0.031507	193.766	59.982	50.2111
REN-S	BOU-S	RGG-C	0.00231224	0.0430205	0.965685	0.0010894	182.123	56.8299	56.5677
BOU-S	RGG-S	REN-S	0.00263861	0.0560323	0.955316	0.00198125	207.791	52.2231	51.9483
REN-S	BOU-S	SLV-F	0.00987993	0.172093	0.863364	0.00317921	191.158	53.8607	52.8069
BOU-S	REN-S	SLV-M	0.0477475	0.641695	0.521071	0.0101587	193.358	44.6674	40.5963
BOU-S	REN-S	SLV-O	0.113627	0.807544	0.419353	0.00260123	205.441	11.0803	8.8192
REN-S	BOU-S	SNM-C	0.025734	0.447572	0.654462	0.00921688	183.747	52.4198	49.7895
BOU-S	REN-S	SNM-M	0.0509114	0.716633	0.4736	0.010269	200.288	44.885	40.5361
BOU-S	SNM-S	REN-S	0.00610389	0.137782	0.890413	0.00448592	197.922	51.4862	50.8615
REN-S	BOU-S	TES-C	0.0188322	0.340895	0.733183	0.008125	176.836	57.9996	55.8555
BOU-S	REN-S	TES-M	0.0828897	1.1475	0.251177	0.0167841	197.499	46.4163	39.3104
BOU-S	TES-S	REN-S	0.00702493	0.149353	0.881275	0.00505947	209.139	50.8694	50.1596
REN-S	BOU-S	TRE-F	0.0158579	0.272079	0.785561	0.00561093	191.458	54.4416	52.7419
REN-S	BOU-S	TRQ-F	0.01817	0.327447	0.74333	0.00619344	194.911	52.5511	50.6755
RGG-S	BOU-S	RGG-C	0.0633791	1.10004	0.271316	0.0188705	319.84	38.6489	34.0419
SLV-F	RGG-C	BOU-S	0.112327	2.42086	0.0154838	0.032142	209.003	58.0622	46.3356
SLV-M	RGG-C	BOU-S	0.243851	3.89301	9.90098e-05	0.0910793	120.257	87.3091	53.0761
BOU-S	RGG-C	SLV-O	0.0981281	0.725969	0.467858	0.00275681	179.721	13.4644	11.0581
SNM-C	RGG-C	BOU-S	0.0781407	1.5833	0.113354	0.022216	203.606	54.6603	46.7371
SNM-M	RGG-C	BOU-S	0.28085	4.53189	5.8459e-06	0.104185	117.083	91.0556	51.1243
SNM-S	BOU-S	RGG-C	0.053559	0.849395	0.395662	0.015858	309.491	38.4568	34.5468
RGG-C	TES-C	BOU-S	0.0457815	0.971601	0.331249	0.0134956	227.235	53.7553	49.0488
TES-M	RGG-C	BOU-S	0.279811	4.39292	1.11838e-05	0.103053	119.749	90.6021	50.9846
TES-S	BOU-S	RGG-C	0.0616996	1.27719	0.201534	0.0178084	322.47	37.8088	33.4144
TRE-F	RGG-C	BOU-S	0.110129	2.23258	0.0255764	0.031476	203.787	57.7953	46.3283
TRQ-F	RGG-C	BOU-S	0.155885	3.10276	0.00191725	0.044791	200.491	61.5599	44.9557
RGG-S	BOU-S	SLV-F	0.0358436	0.607884	0.543264	0.00797007	331.34	38.1727	35.5309
BOU-S	RGG-S	SLV-M	0.0277392	0.398803	0.690038	0.00419033	334.365	31.0355	29.3602
RGG-S	BOU-S	SLV-O	0.106479	0.885696	0.375782	0.00187616	250.242	8.50529	6.86832
RGG-S	BOU-S	SNM-C	0.0674169	1.16003	0.246037	0.0163887	321.979	37.4067	32.6815
BOU-S	RGG-S	SNM-M	0.0325647	0.473092	0.636148	0.00469339	340.928	31.4418	29.4586
BOU-S	RGG-S	SNM-S	0.011679	0.373923	0.708462	0.0202287	90.2907	84.6932	82.7377
RGG-S	BOU-S	TES-C	0.0591288	1.30343	0.192427	0.0167092	312.279	40.142	35.6599
BOU-S	RGG-S	TES-M	0.0266334	0.381752	0.702645	0.00375456	340.621	30.594	29.0066
RGG-S	TES-S	BOU-S	0.00821269	0.262466	0.792962	0.0194363	94.168	82.532	81.1874
RGG-S	BOU-S	TRE-F	0.0310946	0.536804	0.591403	0.00759084	330.467	38.2743	35.9658
RGG-S	BOU-S	TRQ-F	0.015305	0.261919	0.793384	0.0036361	334.008	36.4905	35.3903
SLV-M	SLV-F	BOU-S	0.189902	2.97959	0.00288633	0.0631173	132.14	73.9486	50.345
BOU-S	SLV-F	SLV-O	0.0869273	0.639301	0.522627	0.00271916	175.484	14.7836	12.419
SLV-F	SNM-C	BOU-S	0.0420371	0.706277	0.480016	0.0107	218.471	47.829	43.97
SNM-M	SLV-F	BOU-S	0.219793	3.47775	0.000505633	0.0725793	129.65	76.761	49.0981
SNM-S	BOU-S	SLV-F	0.0675427	0.985111	0.32457	0.0146682	320.771	38.8573	33.9403
SLV-F	TES-C	BOU-S	0.155887	2.94436	0.00323628	0.0470105	200.15	62.7789	45.8457
TES-M	SLV-F	BOU-S	0.226017	3.5204	0.000430895	0.0747969	131.585	77.605	48.992
TES-S	BOU-S	SLV-F	0.0197379	0.408014	0.683263	0.00414221	331.759	35.483	34.1094
TRE-F	SLV-F	BOU-S	0.000748919	0.0140512	0.988789	0.000145317	261.773	35.2955	35.2427
TRQ-F	SLV-F	BOU-S	0.0702159	1.49077	0.136022	0.0127525	287.533	35.9007	31.1899
BOU-S	SLV-M	SLV-O	0.0537655	0.320072	0.748914	0.00155167	164.261	13.0814	11.7465
SLV-M	SNM-C	BOU-S	0.207249	3.27321	0.00106334	0.0718857	118.928	77.6401	50.9831
SNM-M	SLV-M	BOU-S	0.108348	1.33389	0.18224	0.0104939	364.939	20.2654	16.3032
BOU-S	SNM-S	SLV-M	0.0093858	0.120743	0.903895	0.00140642	323.416	30.2316	29.6694
SLV-M	TES-C	BOU-S	0.290089	4.85485	1.2048e-06	0.11048	116.093	91.3114	50.2469
TES-M	SLV-M	BOU-S	0.112635	1.57868	0.11441	0.0103627	368.67	19.3914	15.4653
BOU-S	TES-S	SLV-M	0.0461496	0.746755	0.455211	0.00651685	335.148	29.6372	27.0224
SLV-M	TRE-F	BOU-S	0.178645	2.92665	0.00342633	0.0601635	126.753	74.2082	51.713
SLV-M	TRQ-F	BOU-S	0.147873	2.10777	0.0350505	0.0487711	130.68	70.7946	52.5547
BOU-S	SNM-C	SLV-O	0.0240451	0.173678	0.862118	0.000617764	172.978	11.409	10.8733
BOU-S	SNM-M	SLV-O	0.0666603	0.434705	0.663777	0.00193064	161.453	13.2597	11.6023
SNM-S	BOU-S	SLV-O	0.15471	1.10771	0.267989	0.00277792	243.79	9.0683	6.63832
BOU-S	TES-C	SLV-O	0.160786	1.22944	0.218906	0.00472242	181.367	14.8748	10.7541
BOU-S	TES-M	SLV-O	0.0738211	0.450566	0.652303	0.00218753	162.594	13.7134	11.8279
TES-S	BOU-S	SLV-O	0.165703	1.25584	0.209172	0.00253098	250.545	7.7877	5.57368
BOU-S	TRE-F	SLV-O	0.134088	0.982989	0.325613	0.00421613	174.437	15.514	11.8454
BOU-S	TRQ-F	SLV-O	0.088103	0.694869	0.487137	0.00278739	175.299	14.9599	12.5373
SNM-M	SNM-C	BOU-S	0.235505	3.69966	0.000215885	0.0832255	117.173	82.5756	51.0954
SNM-S	BOU-S	SNM-C	0.0605973	0.939857	0.347291	0.0148704	311.376	37.3773	33.1062
SNM-C	TES-C	BOU-S	0.117034	2.0662	0.0388095	0.0357066	200.93	59.908	47.3546
TES-M	SNM-C	BOU-S	0.242933	3.85174	0.000117279	0.0846717	119.779	82.1808	50.0561
TES-S	BOU-S	SNM-C	0.057338	1.11564	0.264574	0.0135645	324.25	35.9716	32.0703
TRE-F	SNM-C	BOU-S	0.047627	0.755175	0.450144	0.0118975	210.299	47.1472	42.8604
TRQ-F	SNM-C	BOU-S	0.0976331	1.55057	0.121005	0.0245565	215.767	50.5929	41.5925
BOU-S	SNM-S	SNM-M	0.035055	0.477333	0.633125	0.00511148	330.561	31.8805	29.7211
SNM-M	TES-C	BOU-S	0.30935	5.40246	6.57328e-08	0.118976	111.509	95.3777	50.3094
SNM-M	TES-M	BOU-S	0.0010589	0.0140492	0.988791	9.46781e-05	386.343	17.038	17.002
BOU-S	TES-S	SNM-M	0.0780955	1.32349	0.185671	0.0106761	342.068	31.2622	26.733
SNM-M	TRE-F	BOU-S	0.208771	3.52064	0.000430509	0.0712421	120.824	78.6437	51.4781
SNM-M	TRQ-F	BOU-S	0.172652	2.3973	0.0165162	0.0578087	127.956	74.8795	52.8301
SNM-S	BOU-S	TES-C	0.0291654	0.468716	0.639273	0.00802794	300.544	37.9877	35.8346
BOU-S	SNM-S	TES-M	0.0492671	0.658201	0.510409	0.00707781	329.097	31.8693	28.8766
BOU-S	TES-S	SNM-S	0.0205013	0.647706	0.517175	0.0350369	91.1019	84.3794	80.9891
SNM-S	BOU-S	TRE-F	0.0404462	0.603681	0.546055	0.00986304	320.763	38.7686	35.7544
SNM-S	BOU-S	TRQ-F	0.0771476	1.16402	0.244416	0.0174392	325.448	37.6707	32.2746
TES-M	TES-C	BOU-S	0.310503	5.14186	2.72033e-07	0.11791	115.276	94.5037	49.7214
TES-S	BOU-S	TES-C	0.0579827	1.19039	0.233893	0.0159518	314.839	39.2047	34.9074
TRE-F	TES-C	BOU-S	0.143275	2.62203	0.00874072	0.0443807	201.322	63.6424	47.6911
TRQ-F	TES-C	BOU-S	0.196965	3.45507	0.000550149	0.0594787	195.778	66.1878	44.4048
BOU-S	TES-S	TES-M	0.0571662	0.917572	0.358843	0.00767735	341.571	30.1279	26.8696
TES-M	TRE-F	BOU-S	0.216664	3.56567	0.000362928	0.0737632	124.403	79.2142	51.0012
TES-M	TRQ-F	BOU-S	0.177754	2.51194	0.0120068	0.0598277	129.466	75.8261	52.9378
TES-S	BOU-S	TRE-F	0.025194	0.517439	0.60485	0.0059113	332.284	36.5663	34.7691
TES-S	BOU-S	TRQ-F	0.0190909	0.401384	0.688138	0.00428187	335.805	34.6236	33.3263
TRQ-F	TRE-F	BOU-S	0.0716831	1.38034	0.167481	0.0138829	261.065	38.3492	33.219
MAL-C	GUN-F	LOG-S	0.0196324	0.385949	0.699534	0.00633386	211.337	49.8588	47.9388
MAL-M	GUN-F	LOG-S	0.212523	3.40247	0.000667801	0.0869388	119.027	79.7212	51.7752
GUN-F	MOB-C	LOG-S	0.122688	2.50022	0.0124118	0.0437726	200.155	60.0007	46.8869
LOG-S	MOB-G	GUN-F	0.0937398	1.75705	0.0789101	0.0460475	126.417	70.088	58.0741
LOG-S	MOB-S	GUN-F	0.0405667	0.749916	0.453305	0.0131914	241.193	45.5419	41.991
GUN-F	MTB-F	LOG-S	0.122964	2.68052	0.00735079	0.0453783	186.08	61.3416	47.9078
PAS-C	GUN-F	LOG-S	0.14878	2.86354	0.00418932	0.045033	216.927	54.9694	40.7311
GUN-F	LOG-S	REN-C	0.0618771	0.781884	0.434283	0.0134231	149.925	54.9188	48.5184
GUN-F	LOG-S	REN-HC	0.0957174	1.27858	0.201047	0.0231867	148.198	59.2137	48.8684
REN-HS	LOG-S	GUN-F	0.00735444	0.158075	0.874398	0.00259627	208.684	48.0399	47.3385
LOG-S	REN-S	GUN-F	0.0745763	1.38975	0.164606	0.0267962	204.923	51.7448	44.5625
GUN-F	RGG-C	LOG-S	0.028804	0.586852	0.557303	0.010022	207.605	53.9221	50.9027
LOG-S	RGG-S	GUN-F	0.0257367	0.418227	0.675781	0.00910549	227.199	48.9305	46.4751
SLV-F	GUN-F	LOG-S	0.132641	2.62446	0.00867872	0.0348292	240.995	46.2493	35.417
SLV-M	GUN-F	LOG-S	0.204464	3.12733	0.001764	0.0824167	120.493	77.1488	50.956
GUN-F	LOG-S	SLV-O	0.0209753	0.154259	0.877406	0.000594586	174.188	12.5583	12.0423
SNM-C	GUN-F	LOG-S	0.102915	1.92419	0.0543309	0.0329017	206.828	53.813	43.7702
SNM-M	GUN-F	LOG-S	0.2244	3.62295	0.000291259	0.0921665	119.775	80.7961	51.1805
LOG-S	SNM-S	GUN-F	0.00177183	0.0256209	0.97956	0.000643941	229.206	48.9994	48.8261
GUN-F	TES-C	LOG-S	0.0531008	1.17761	0.238953	0.0198667	198.987	58.5688	52.6624
TES-M	GUN-F	LOG-S	0.22973	3.42567	0.000613289	0.093015	119.202	79.5899	49.853
LOG-S	TES-S	GUN-F	0.000315202	0.00543308	0.995665	0.000108232	229.724	46.2813	46.2521
TRE-F	GUN-F	LOG-S	0.13026	2.47651	0.0132675	0.0365009	228.192	49.7555	38.2871
TRQ-F	GUN-F	LOG-S	0.22863	4.55846	5.15289e-06	0.057524	237.405	49.1897	30.8827
GUN-F	MAL-C	MAL-M	0.0320898	0.543414	0.586845	0.00895754	171.175	53.2154	49.9063
GUN-F	MAL-C	MOB-C	0.0367343	0.893865	0.371394	0.0555335	85.7597	85.0124	78.988
MAL-C	GUN-F	MOB-G	0.04163	0.881335	0.378137	0.0146664	195.388	52.4587	48.2656
MAL-C	GUN-F	MOB-S	0.00282999	0.0488663	0.961026	0.000963342	207.45	49.8081	49.527
MAL-C	GUN-F	MTB-F	0.128679	3.12519	0.00177693	0.156792	104.78	81.2101	62.6929
PAS-C	GUN-F	MAL-C	0.0880401	2.33197	0.019702	0.111895	89.5008	88.8399	74.4627
MAL-C	GUN-F	REN-C	0.0202623	0.26499	0.791017	0.00230689	280.45	28.1453	27.0274
MAL-C	GUN-F	REN-HC	0.00433757	0.057619	0.954052	0.000536516	278.706	28.1237	27.8808
MAL-C	GUN-F	REN-HS	0.0220101	0.382361	0.702194	0.00834047	211.1	50.2195	48.0565
MAL-C	GUN-F	REN-S	0.0285992	0.498505	0.618128	0.0108284	205	52.3856	49.4725
RGG-C	MAL-C	GUN-F	0.0290355	0.701703	0.482864	0.0391382	89.2453	80.3231	75.7903
GUN-F	MAL-C	RGG-S	0.0203524	0.340567	0.73343	0.00544872	206.49	49.1801	47.2182
GUN-F	SLV-F	MAL-C	0.0785681	1.8651	0.0621675	0.100522	101.681	77.5597	66.2601
GUN-F	MAL-C	SLV-M	0.0049697	0.084488	0.932668	0.0015426	166.141	51.6215	51.1109
GUN-F	MAL-C	SLV-O	0.333803	2.16835	0.0301321	0.00457862	218.597	7.94656	3.96908
SNM-C	MAL-C	GUN-F	0.0617659	1.60521	0.108447	0.0711928	115.02	72.084	63.6973
MAL-C	GUN-F	SNM-M	0.0140523	0.234661	0.814472	0.00402478	173.11	51.5699	50.1406
GUN-F	MAL-C	SNM-S	0.026873	0.425299	0.670618	0.00678487	208.517	49.1608	46.5877
TES-C	MAL-C	GUN-F	0.0896337	2.23445	0.0254534	0.113615	91.2609	83.66	69.8962
GUN-F	MAL-C	TES-M	0.0150022	0.257934	0.796458	0.00435259	172.276	52.0393	50.501
GUN-F	MAL-C	TES-S	0.0471268	0.805729	0.420399	0.0127401	206.999	50.728	46.1619
GUN-F	TRE-F	MAL-C	0.0760023	1.87986	0.0601276	0.101224	91.5636	82.3172	70.6884
GUN-F	TRQ-F	MAL-C	0.0109187	0.287276	0.773901	0.01435	100.224	75.1585	73.535
MOB-C	GUN-F	MAL-M	0.0521463	0.870338	0.384116	0.0139422	166.646	52.517	47.3113
MAL-M	GUN-F	MOB-G	0.214808	3.55628	0.000376141	0.0974133	108.741	84.0946	54.3546
MAL-M	GUN-F	MOB-S	0.198593	3.37488	0.000738485	0.0844492	116.767	79.2407	52.9822
MTB-F	GUN-F	MAL-M	0.141508	2.54742	0.0108522	0.0404741	160.23	62.392	46.923
GUN-F	PAS-C	MAL-M	0.0854984	1.52064	0.128351	0.0241056	168.718	56.5015	47.6009
MAL-M	GUN-F	REN-C	0.0647295	0.782209	0.434092	0.0118133	185.784	46.2087	40.5902
MAL-M	GUN-F	REN-HC	0.0413843	0.51353	0.607581	0.00812165	182.552	45.3522	41.7477
MAL-M	GUN-F	REN-HS	0.210356	3.37765	0.000731074	0.0973131	119.416	78.3808	51.1362
MAL-M	GUN-F	REN-S	0.240557	3.95471	7.66281e-05	0.108153	112.949	81.7284	50.0324
RGG-C	GUN-F	MAL-M	1.39196e-05	0.000243728	0.999806	3.92935e-06	167.759	52.2663	52.2648
MAL-M	GUN-F	RGG-S	0.215652	3.19685	0.00138936	0.0727809	116.001	77.9842	50.3159
GUN-F	SLV-F	MAL-M	0.169601	3.02367	0.00249725	0.0433201	194.041	55.0533	39.087
MAL-M	SLV-M	GUN-F	0.0765568	1.02554	0.305108	0.016433	312.164	26.0472	22.3426
GUN-F	MAL-M	SLV-O	0.121312	0.661145	0.508519	0.00269856	182.695	10.7806	8.44792
GUN-F	SNM-C	MAL-M	0.0262264	0.43541	0.663265	0.00731048	162.458	52.151	49.4854
SNM-M	MAL-M	GUN-F	0.0120863	0.17288	0.862746	0.0022146	331.136	21.2517	20.7441
MAL-M	GUN-F	SNM-S	0.191552	2.7942	0.00520279	0.0622793	117.612	76.6598	52.0124
TES-C	GUN-F	MAL-M	0.0593295	1.07734	0.281328	0.0168822	160.64	56.26	49.9581
TES-M	MAL-M	GUN-F	0.0224724	0.319837	0.749092	0.00403928	332.486	21.1539	20.2241
MAL-M	GUN-F	TES-S	0.191039	2.87712	0.00401321	0.0646477	114.645	75.3819	51.1998
GUN-F	TRE-F	MAL-M	0.0869282	1.52843	0.126407	0.0227041	182.872	51.9054	43.6031
GUN-F	TRQ-F	MAL-M	0.104903	2.03615	0.0417357	0.0279226	190.88	54.0451	43.7827
GUN-F	MOB-C	MOB-G	0.1424	2.77858	0.0054597	0.055322	181.852	61.6743	46.299
GUN-F	MOB-C	MOB-S	0.137918	2.83472	0.00458654	0.0496125	196.506	59.284	44.9133
MOB-C	GUN-F	MTB-F	0.00677451	0.19353	0.846544	0.0103237	93.2594	77.2044	76.1654
PAS-C	GUN-F	MOB-C	0.151069	4.4377	9.09266e-06	0.175429	96.4682	89.4314	65.9569
GUN-F	MOB-C	REN-C	0.0439435	0.657355	0.510952	0.00530055	272.145	30.2222	27.6779
GUN-F	MOB-C	REN-HC	0.0418286	0.63981	0.522296	0.00519437	268.638	29.0914	26.7554
GUN-F	MOB-C	REN-HS	0.11209	2.32094	0.02029	0.044873	198.528	57.1303	45.6137
GUN-F	MOB-C	REN-S	0.102807	2.24266	0.0249188	0.0406993	190.595	57.1503	46.4949
MOB-C	RGG-C	GUN-F	0.0113099	0.29358	0.769079	0.0157223	91.2912	80.8511	79.0427
GUN-F	MOB-C	RGG-S	0.121804	2.19054	0.0284851	0.0344256	196.331	56.7429	44.4208
SLV-F	GUN-F	MOB-C	0.119581	3.49472	0.000474555	0.12928	116.637	76.5207	60.1745
MOB-C	GUN-F	SLV-M	0.0695234	1.16384	0.24449	0.0201783	160.759	52.4869	45.6632
GUN-F	MOB-C	SLV-O	0.0762719	0.510902	0.60942	0.00128475	215.218	7.88704	6.76918
MOB-C	GUN-F	SNM-C	0.035238	1.00684	0.314011	0.039591	82.8797	81.7718	76.205
MOB-C	GUN-F	SNM-M	0.0939068	1.54638	0.122012	0.0253071	167.802	53.429	44.2558
GUN-F	MOB-C	SNM-S	0.146462	2.86123	0.00422	0.0393327	196.905	57.9302	43.1289
TES-C	MOB-C	GUN-F	0.0361092	0.891397	0.372716	0.0476465	93.0932	83.277	77.4725
MOB-C	GUN-F	TES-M	0.0493989	0.799036	0.42427	0.0135513	166.261	51.6049	46.7465
GUN-F	MOB-C	TES-S	0.116008	2.08993	0.0366243	0.0324296	197.454	55.4955	43.9581
TRE-F	GUN-F	MOB-C	0.0899575	2.54095	0.0110553	0.107294	106.96	79.7432	66.5803
TRQ-F	GUN-F	MOB-C	0.171764	6.02913	1.64842e-09	0.180059	115.158	82.4604	58.2854
MOB-S	MOB-G	GUN-F	0.0731498	1.35444	0.175596	0.0381289	116.061	72.3681	62.5023
GUN-F	MTB-F	MOB-G	0.173061	3.46676	0.000526779	0.0697413	165.997	65.4093	46.1097
PAS-C	GUN-F	MOB-G	0.154197	3.01743	0.00254929	0.0513315	200.871	57.1697	41.8943
GUN-F	MOB-G	REN-C	0.0358545	0.473632	0.635763	0.00722571	157.167	49.4229	46.0015
GUN-F	MOB-G	REN-HC	0.0272391	0.370175	0.711252	0.00593831	155.537	49.5861	46.9563
REN-HS	MOB-G	GUN-F	0.111212	2.06867	0.0385768	0.0509034	128.108	66.7859	53.4178
REN-S	MOB-G	GUN-F	0.0435614	0.777946	0.436601	0.0209131	125	63.4468	58.1499
GUN-F	RGG-C	MOB-G	0.0388178	0.736336	0.461526	0.0145975	188.975	54.8662	50.7658
RGG-S	MOB-G	GUN-F	0.0758965	1.20823	0.226958	0.0411211	111.338	75.4774	64.8287
SLV-F	GUN-F	MOB-G	0.178157	3.16594	0.00154585	0.0514162	225.589	50.4055	35.1611
SLV-M	GUN-F	MOB-G	0.20095	3.13104	0.0017419	0.0896413	111.25	80.4548	53.5305
GUN-F	MOB-G	SLV-O	0.0493066	0.349168	0.726963	0.00118644	173.367	10.8687	9.84722
SNM-C	GUN-F	MOB-G	0.0890737	1.73018	0.0835983	0.031015	187.707	54.6163	45.6823
SNM-M	GUN-F	MOB-G	0.231847	3.57989	0.000343738	0.105443	109.987	85.8348	53.5247
SNM-S	MOB-G	GUN-F	0.103784	1.78098	0.0749151	0.0546762	113.076	76.1849	61.8582
GUN-F	TES-C	MOB-G	0.0209296	0.426084	0.670047	0.00804992	181.356	54.7407	52.4963
TES-M	GUN-F	MOB-G	0.225637	3.60675	0.000310056	0.102009	108.559	83.9955	53.0687
TES-S	MOB-G	GUN-F	0.080011	1.36528	0.172166	0.0416506	110.215	73.4812	62.5938
TRE-F	GUN-F	MOB-G	0.12687	2.39428	0.0166529	0.0401421	213.752	51.8365	40.1643
TRQ-F	GUN-F	MOB-G	0.244655	4.92999	8.22331e-07	0.0695623	222.723	53.0563	32.1983
GUN-F	MTB-F	MOB-S	0.10063	1.88018	0.0600837	0.0382871	184.161	59.8694	48.9217
PAS-C	GUN-F	MOB-S	0.124999	2.5627	0.0103862	0.0390525	212.167	53.1351	41.3273
GUN-F	MOB-S	REN-C	0.0303526	0.41443	0.678559	0.00611744	151.372	49.6299	46.7059
GUN-F	MOB-S	REN-HC	0.0410949	0.56274	0.573612	0.0091785	149.987	52.1687	48.0502
REN-HS	MOB-S	GUN-F	0.0434907	0.97147	0.331314	0.0162085	203.394	52.5141	48.1368
MOB-S	REN-S	GUN-F	0.0637484	1.31318	0.189121	0.0239067	203.38	52.8938	46.5542
GUN-F	RGG-C	MOB-S	0.0341815	0.682449	0.494955	0.0122755	204.559	53.9758	50.4078
RGG-S	MOB-S	GUN-F	0.00871832	0.144083	0.885435	0.00301619	226.248	46.5023	45.6985
SLV-F	GUN-F	MOB-S	0.117646	2.42207	0.0154326	0.0324773	236.691	46.44	36.6632
SLV-M	GUN-F	MOB-S	0.192167	3.08012	0.0020692	0.0813578	119.457	77.4347	52.471
MOB-S	GUN-F	SLV-O	0.121515	0.84786	0.396516	0.00319915	173.64	12.8764	10.0861
