P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
BOU-C	TRQ-F	SLV-M	0.166491	3.17371	0.00150503	0.0543119	146.448	64.3568	45.9858
SNM-C	BOU-C	SLV-O	0.0516076	0.350961	0.725618	0.000856642	201.99	7.55208	6.81085
SNM-M	BOU-C	SLV-O	0.0654167	0.388674	0.697517	0.00111596	174.459	7.76091	6.80787
SNM-S	BOU-C	SLV-O	0.194522	1.42449	0.154304	0.00540466	170.147	14.4524	9.74537
BOU-C	TES-C	SLV-O	0.11556	0.884007	0.376693	0.00212431	210.071	8.89931	7.05556
TES-M	BOU-C	SLV-O	0.0152378	0.08488	0.932357	0.000262387	174.598	7.49107	7.2662
TES-S	BOU-C	SLV-O	0.188999	1.40989	0.158572	0.00478308	170.317	13.1218	8.95023
BOU-C	TRE-F	SLV-O	0.110145	0.738919	0.459956	0.00189612	207.576	8.27243	6.6309
BOU-C	TRQ-F	SLV-O	0.00906119	0.0664796	0.946996	0.000168388	210.784	8.10532	7.95976
BOU-C	SNM-C	SNM-M	0.0731852	1.11202	0.266131	0.0223001	140.328	58.1709	50.237
SNM-C	BOU-C	SNM-S	0.00311311	0.0488468	0.961041	0.000858494	175.102	52.0521	51.7291
TES-C	SNM-C	BOU-C	0.00390941	0.0957261	0.923738	0.00443855	102.304	69.824	69.2802
BOU-C	SNM-C	TES-M	0.0971285	1.49658	0.134504	0.0297585	140.511	59.6738	49.108
SNM-C	BOU-C	TES-S	0.0209302	0.336753	0.736303	0.00636065	173.405	53.9477	51.7357
SNM-C	TRE-F	BOU-C	0.116892	2.47218	0.0134291	0.127281	104.87	74.0407	58.5427
SNM-C	TRQ-F	BOU-C	0.102494	2.12532	0.03356	0.111178	105.361	74.2119	60.4136
SNM-S	SNM-M	BOU-C	0.163055	2.91518	0.00355486	0.127479	54.1797	110.164	79.2747
TES-C	BOU-C	SNM-M	0.00671442	0.123621	0.901615	0.00209451	144.387	56.1382	55.3894
TES-M	SNM-M	BOU-C	0.0266671	0.35791	0.720411	0.00504961	327.907	20.6947	19.6196
TES-S	SNM-M	BOU-C	0.146247	2.50661	0.0121895	0.113638	51.9187	105.422	78.5207
BOU-C	TRE-F	SNM-M	0.109445	1.76028	0.0783608	0.0326417	152.977	59.1741	47.4993
BOU-C	TRQ-F	SNM-M	0.134484	2.32708	0.0199612	0.0412968	151.517	62.373	47.5853
BOU-C	TES-C	SNM-S	0.117935	2.36659	0.0179526	0.0362314	174.946	64.8792	51.1906
SNM-S	TES-M	BOU-C	0.167412	2.94083	0.00327329	0.129912	54.9957	110.827	79.0408
SNM-S	TES-S	BOU-C	0.0468071	1.08482	0.278003	0.0127273	314.471	35.3511	32.1897
TRE-F	BOU-C	SNM-S	0.031211	0.50235	0.615421	0.00819576	191.594	51.9487	48.8041
TRQ-F	BOU-C	SNM-S	0.112938	1.90249	0.0571065	0.029565	196.216	57.2985	45.6695
BOU-C	TES-C	TES-M	0.0295977	0.538313	0.590361	0.00932294	143.456	57.8766	54.5491
BOU-C	TES-C	TES-S	0.0760976	1.60266	0.109009	0.0259741	174.763	63.5936	54.5994
BOU-C	TES-C	TRE-F	0.0794377	2.37733	0.0174385	0.0940108	66.634	98.7602	84.2243
BOU-C	TES-C	TRQ-F	0.0320504	0.978907	0.327626	0.0361658	69.5528	89.4655	83.9088
TES-S	TES-M	BOU-C	0.152905	2.59619	0.00942652	0.1184	51.4315	107.025	78.6362
BOU-C	TRE-F	TES-M	0.136435	2.36141	0.0182056	0.0417249	154.25	61.927	47.0577
BOU-C	TRQ-F	TES-M	0.139186	2.51691	0.0118388	0.0430966	153.11	63.0165	47.6177
TRE-F	BOU-C	TES-S	0.0489658	0.794819	0.426719	0.0138353	188.23	52.4271	47.5325
TRQ-F	BOU-C	TES-S	0.0939435	1.59691	0.110286	0.027228	192.138	56.9932	47.2045
TRQ-F	TRE-F	BOU-C	0.0358114	0.830434	0.406293	0.0365244	139.755	58.4258	54.3858
LOG-S	BOU-S	GUN-F	0.0376542	0.600658	0.548068	0.0140957	225.697	51.1918	47.4766
GUN-F	MAL-C	BOU-S	0.0384264	0.701688	0.482874	0.0106854	205.103	51.4689	47.6597
BOU-S	MAL-M	GUN-F	0.185707	3.14396	0.0016668	0.143279	49.7332	117.832	80.9222
GUN-F	MOB-C	BOU-S	0.110355	2.20392	0.0275298	0.0325396	196.384	57.868	46.3654
BOU-S	MOB-G	GUN-F	0.0606794	1.03543	0.30047	0.0341575	113.473	74.533	66.0052
MOB-S	BOU-S	GUN-F	0.0159698	0.287399	0.773807	0.00591198	226.785	48.9655	47.4261
GUN-F	MTB-F	BOU-S	0.0646164	1.55151	0.120778	0.0187878	182.508	54.3744	47.774
PAS-C	GUN-F	BOU-S	0.0844304	1.50461	0.132424	0.0225948	211.11	52.7282	44.5177
GUN-F	BOU-S	REN-C	0.0333128	0.425925	0.670162	0.0063062	155.154	47.1832	44.141
GUN-F	BOU-S	REN-HC	0.0653896	0.84051	0.400622	0.0138391	152.319	51.0981	44.8257
REN-HS	BOU-S	GUN-F	0.0432637	0.706067	0.480146	0.0188742	180.491	59.9511	54.9788
BOU-S	REN-S	GUN-F	0.0431398	0.781455	0.434535	0.0182794	181.395	57.0291	52.3121
GUN-F	RGG-C	BOU-S	0.0517069	1.1967	0.231424	0.0151988	202.229	55.2133	49.7842
RGG-S	BOU-S	GUN-F	0.0365618	0.666718	0.504953	0.0101005	323.193	37.3503	34.7155
SLV-F	GUN-F	BOU-S	0.080305	1.6633	0.0962532	0.0181124	234.419	44.0407	37.4931
BOU-S	SLV-M	GUN-F	0.208443	3.48979	0.000483406	0.160401	49.1284	119.019	77.9602
BOU-S	GUN-F	SLV-O	0.0608951	0.453344	0.650301	0.0018729	175.917	14.2654	12.6278
SNM-C	GUN-F	BOU-S	0.0259214	0.532283	0.59453	0.00723157	199.02	50.4565	47.9068
BOU-S	SNM-M	GUN-F	0.182086	3.18559	0.00144457	0.14066	47.4942	117.394	81.2278
SNM-S	BOU-S	GUN-F	0.0430348	0.658463	0.510241	0.0120186	313.977	38.0421	34.9029
GUN-F	TES-C	BOU-S	0.0895244	1.91681	0.0552621	0.028175	192.897	60.4928	50.5516
BOU-S	TES-M	GUN-F	0.181404	3.1076	0.00188612	0.140772	47.21	118.156	81.8706
TES-S	BOU-S	GUN-F	0.0511657	0.974723	0.329698	0.0133152	325.377	36.0096	32.5041
TRE-F	GUN-F	BOU-S	0.0670162	1.21434	0.224618	0.0163962	221.709	47.2377	41.304
TRQ-F	GUN-F	BOU-S	0.142363	3.09058	0.00199763	0.0315589	230.862	46.3405	34.7905
LOG-S	BOU-S	MAL-C	0.100156	1.66393	0.0961267	0.0353907	225.495	53.7019	43.9241
LOG-S	BOU-S	MAL-M	0.00636163	0.0929974	0.925906	0.00119315	242.813	40.6467	40.1328
LOG-S	BOU-S	MOB-C	0.0194118	0.348318	0.727601	0.00822534	215.929	53.4269	51.3922
BOU-S	LOG-S	MOB-G	0.144549	2.67904	0.00738328	0.0689837	173.148	66.259	49.5229
LOG-S	MOB-S	BOU-S	0.0201736	0.488178	0.625424	0.0187765	99.7312	83.8145	80.4997
BOU-S	LOG-S	MTB-F	0.0363902	0.59245	0.55355	0.016141	213.345	52.9054	49.1901
LOG-S	BOU-S	PAS-C	0.0977032	1.71681	0.086014	0.0341505	236.911	52.0012	42.7443
BOU-S	LOG-S	REN-C	0.0506635	0.646024	0.518264	0.00694357	304.189	34.2446	30.942
BOU-S	LOG-S	REN-HC	0.0570308	0.842525	0.399494	0.00865616	300.157	35.4277	31.6048
REN-HS	BOU-S	LOG-S	0.0779916	1.87088	0.0613611	0.126928	58.6645	110.144	94.2061
REN-S	BOU-S	LOG-S	0.0862449	1.79196	0.0731391	0.131787	61.6499	108.183	91.0041
LOG-S	BOU-S	RGG-C	0.0754297	1.27511	0.202272	0.0304067	223.197	53.2671	45.7949
BOU-S	RGG-S	LOG-S	0.0147866	0.383866	0.701078	0.016287	169.466	60.1885	58.4344
LOG-S	BOU-S	SLV-F	0.0903462	1.37368	0.169541	0.0255165	235.046	52.716	43.9799
LOG-S	BOU-S	SLV-M	0.0124603	0.172526	0.863024	0.00248827	237.335	40.3452	39.3521
BOU-S	LOG-S	SLV-O	0.107949	0.845523	0.397819	0.00247278	220.697	11.0522	8.89856
LOG-S	BOU-S	SNM-C	0.129832	2.17363	0.0297332	0.0411587	225.634	52.274	40.2601
BOU-S	LOG-S	SNM-M	0	0	1	0	242.583	40.3953	40.3953
BOU-S	SNM-S	LOG-S	0.0180964	0.402227	0.687517	0.0205829	160.687	61.9166	59.7155
LOG-S	BOU-S	TES-C	0.0829013	1.46281	0.14352	0.0304348	215.626	53.6108	45.4025
BOU-S	LOG-S	TES-M	0.00615723	0.088728	0.929298	0.00116117	241.634	39.7179	39.2318
BOU-S	TES-S	LOG-S	0.039672	1.01277	0.311168	0.0417267	168.864	59.7112	55.1542
LOG-S	BOU-S	TRE-F	0.0976395	1.54554	0.122215	0.0315084	236.142	54.0229	44.4118
LOG-S	BOU-S	TRQ-F	0.113607	1.75341	0.0795321	0.0341689	239.335	52.2106	41.5578
BOU-S	MAL-M	MAL-C	0.166225	2.92649	0.00342814	0.131179	50.3513	121.343	86.7523
MAL-C	MOB-C	BOU-S	0.0803657	1.37777	0.168274	0.0245076	199.946	57.5937	49.0252
MOB-G	BOU-S	MAL-C	2.07662e-16	3.63169e-15	1	1.0985e-16	112.038	68.4327	68.4327
MOB-S	BOU-S	MAL-C	0.0567897	1.07417	0.282745	0.0199817	226.328	50.442	45.0207
MAL-C	MTB-F	BOU-S	0.0313417	0.605857	0.54461	0.0103169	167.137	58.9512	55.3683
PAS-C	MAL-C	BOU-S	0.114411	2.04116	0.0412346	0.0333753	197.957	59.2145	47.056
MAL-C	BOU-S	REN-C	0.0440792	0.552953	0.580296	0.00855614	162.068	49.27	45.1098
MAL-C	BOU-S	REN-HC	0.068904	1.01527	0.30998	0.0147497	159.47	52.152	45.4283
REN-HS	BOU-S	MAL-C	0.0936359	1.59321	0.111113	0.0385652	180.824	61.9269	51.3227
REN-S	BOU-S	MAL-C	0.019916	0.359198	0.719447	0.00808006	182.623	55.613	53.4411
MAL-C	RGG-C	BOU-S	0.016355	0.310404	0.756254	0.00471358	211.176	51.629	49.9674
RGG-S	BOU-S	MAL-C	0.0620292	1.15913	0.246403	0.0168138	321.984	38.9643	34.4128
SLV-F	MAL-C	BOU-S	0.0982766	1.61475	0.106365	0.0267636	217.267	54.2226	44.5186
BOU-S	SLV-M	MAL-C	0.180009	3.20081	0.00137043	0.140854	50.5915	120.715	83.8851
BOU-S	MAL-C	SLV-O	0.226906	1.6958	0.0899236	0.00644073	176.618	15.1809	9.56572
SNM-C	MAL-C	BOU-S	0.0678139	1.32376	0.185581	0.0162053	238.945	45.0342	39.3142
BOU-S	SNM-M	MAL-C	0.140088	2.58045	0.00986722	0.10999	49.2998	117.298	88.4722
SNM-S	BOU-S	MAL-C	0.0635101	0.965841	0.334124	0.0173281	312.273	39.4241	34.7155
MAL-C	TES-C	BOU-S	0.064062	1.22188	0.221752	0.0197605	210.313	57.1548	50.2728
BOU-S	TES-M	MAL-C	0.158293	2.84367	0.00445966	0.125866	48.8345	120.791	87.7765
TES-S	BOU-S	MAL-C	0.0400315	0.830864	0.40605	0.0106498	323.568	37.3286	34.455
TRE-F	MAL-C	BOU-S	0.101103	1.54328	0.122763	0.0269779	213.558	53.2815	43.497
TRQ-F	MAL-C	BOU-S	0.14985	2.31212	0.0207713	0.040231	211.906	56.6903	41.9144
BOU-S	MAL-M	MOB-C	0.0856354	1.40117	0.161162	0.0714955	47.1356	110.973	93.4662
BOU-S	MOB-G	MAL-M	0.0858584	1.23734	0.215961	0.0233808	129.295	61.9619	52.1633
BOU-S	MOB-S	MAL-M	0.0509405	0.757758	0.448596	0.00946435	244.744	42.2167	38.1241
BOU-S	MAL-M	MTB-F	0.0714778	1.18878	0.234525	0.0610005	50.5378	104.362	90.4384
MAL-M	PAS-C	BOU-S	0.173835	2.9869	0.00281821	0.0611902	131.814	78.4732	55.2307
MAL-M	BOU-S	REN-C	0.0872753	0.92989	0.352428	0.0191	136.513	56.716	47.6109
MAL-M	BOU-S	REN-HC	0.0879177	0.986783	0.323749	0.0211791	132.2	58.6182	49.144
BOU-S	REN-HS	MAL-M	0.000148902	0.00212412	0.998305	3.19105e-05	196.429	46.4226	46.4088
BOU-S	REN-S	MAL-M	0.0601599	0.848935	0.395917	0.0120438	198.024	45.9064	40.6964
BOU-S	MAL-M	RGG-C	0.146304	2.67799	0.00740657	0.129052	51.9621	119.949	89.3302
BOU-S	RGG-S	MAL-M	0.024783	0.341293	0.732883	0.00353862	341.436	31.5268	30.002
MAL-M	SLV-F	BOU-S	0.199865	3.22815	0.00124593	0.0667103	132.225	76.0507	50.7148
MAL-M	SLV-M	BOU-S	0.0641142	0.764505	0.444567	0.00590266	372.862	18.41	16.1916
BOU-S	MAL-M	SLV-O	0.162411	1.02526	0.305239	0.00457944	164.193	14.2082	10.2378
BOU-S	MAL-M	SNM-C	0.200834	3.79092	0.000150092	0.145333	50.7927	119.752	79.696
SNM-M	MAL-M	BOU-S	0.0669335	0.818629	0.412998	0.00599623	395.61	18.2145	15.9291
BOU-S	SNM-S	MAL-M	0.041705	0.533086	0.593974	0.00605753	330.065	32.6066	29.9958
BOU-S	MAL-M	TES-C	0.102035	1.87509	0.0607808	0.0823001	50.9859	114.158	93.0189
TES-M	MAL-M	BOU-S	0.0561792	0.725634	0.468063	0.00492161	397.453	17.6186	15.7443
BOU-S	TES-S	MAL-M	0.0728578	1.13719	0.255457	0.00995717	342.592	31.7107	27.4037
MAL-M	TRE-F	BOU-S	0.19227	3.14731	0.00164783	0.0651685	124.724	76.8833	52.0863
MAL-M	TRQ-F	BOU-S	0.155417	2.18345	0.0290026	0.0520788	131.262	73.4141	53.664
BOU-S	MOB-G	MOB-C	0.0817679	1.3638	0.17263	0.0510409	103.193	80.5727	68.3922
BOU-S	MOB-S	MOB-C	0.00940053	0.169577	0.865342	0.00403771	218.415	53.4399	52.4445
MTB-F	MOB-C	BOU-S	0.0429201	0.892669	0.372035	0.0138937	179.13	57.5346	52.7991
PAS-C	MOB-C	BOU-S	0.182717	3.17117	0.00151827	0.0570114	180.865	66.6781	46.076
MOB-C	BOU-S	REN-C	0.0169257	0.210252	0.833471	0.00330173	169.699	47.5027	45.9214
MOB-C	BOU-S	REN-HC	0.0549178	0.720889	0.470978	0.0113276	165.312	49.0127	43.9096
REN-HS	BOU-S	MOB-C	0.0366562	0.652108	0.514332	0.0177357	171.794	62.2573	57.8544
BOU-S	REN-S	MOB-C	0.035231	0.602762	0.546667	0.0165835	172.811	59.7113	55.6471
RGG-C	MOB-C	BOU-S	0.0655485	1.25674	0.208849	0.0197444	207.052	55.9131	49.0339
RGG-S	BOU-S	MOB-C	0.0278321	0.559696	0.575687	0.00841111	310.928	38.394	36.3147
SLV-F	MOB-C	BOU-S	0.16519	3.31238	0.000925053	0.050862	184.982	64.5415	46.2412
BOU-S	SLV-M	MOB-C	0.100757	1.64244	0.100499	0.0846151	47.7774	111.733	91.2784
BOU-S	MOB-C	SLV-O	0.10914	0.841263	0.4002	0.00315584	176.292	14.0016	11.246
SNM-C	MOB-C	BOU-S	0.129876	2.12214	0.0338261	0.0392111	189.871	59.7663	46.0264
BOU-S	SNM-M	MOB-C	0.0636143	1.05655	0.290717	0.0529022	46.2751	107.863	94.9605
BOU-S	SNM-S	MOB-C	0.00536105	0.0858077	0.931619	0.00165187	300.852	38.3914	37.9819
TES-C	MOB-C	BOU-S	0.013696	0.287818	0.773486	0.00434534	202.36	54.7016	53.2234
BOU-S	TES-M	MOB-C	0.0871558	1.40697	0.159438	0.073592	45.1941	112.226	94.2323
TES-S	BOU-S	MOB-C	0.0560656	1.06262	0.287954	0.0162859	313.127	38.248	34.1869
TRE-F	MOB-C	BOU-S	0.15983	3.06421	0.00218246	0.0494227	186.218	64.5248	46.7412
TRQ-F	MOB-C	BOU-S	0.206929	3.79206	0.0001494	0.0637501	182.242	67.755	44.5217
BOU-S	MOB-S	MOB-G	0.03622	0.66315	0.507234	0.0168441	181.413	58.642	54.5425
MTB-F	BOU-S	MOB-G	0.0961726	1.72341	0.0848147	0.0696356	63.2515	102.038	84.1335
BOU-S	MOB-G	PAS-C	0.0150476	0.25573	0.798159	0.00785901	120.663	66.753	64.7738
BOU-S	MOB-G	REN-C	0.00573309	0.0781887	0.937678	0.00113059	201.559	46.8586	46.3243
MOB-G	BOU-S	REN-HC	0.0468294	0.631363	0.527803	0.00989663	197.449	48.9938	44.6104
BOU-S	REN-HS	MOB-G	0.160966	3.34939	0.00080989	0.0927232	129.963	81.1153	58.6224
BOU-S	REN-S	MOB-G	0.171937	3.19157	0.00141502	0.0951603	133.167	77.9174	55.0546
BOU-S	MOB-G	RGG-C	0.0417659	0.691887	0.489008	0.0259912	110.599	75.1754	69.1477
RGG-S	BOU-S	MOB-G	0.0497837	0.956476	0.338832	0.0162828	275.369	42.3509	38.3341
MOB-G	BOU-S	SLV-F	0.0135052	0.227693	0.819885	0.00537065	118.52	65.4044	63.6613
BOU-S	MOB-G	SLV-M	0.0808947	1.17003	0.24199	0.0235663	125.875	61.2877	52.1141
BOU-S	MOB-G	SLV-O	0.127522	0.917139	0.35907	0.00346196	188.576	13.2292	10.2368
BOU-S	MOB-G	SNM-C	0.0106828	0.194393	0.845869	0.00509385	111.702	65.0431	63.6681
BOU-S	MOB-G	SNM-M	0.082427	1.14994	0.25017	0.022909	131.59	61.4648	52.1037
SNM-S	BOU-S	MOB-G	0.0199099	0.314599	0.753066	0.00639157	263.744	40.3835	38.8068
BOU-S	MOB-G	TES-C	0.00344897	0.0660172	0.947364	0.00195147	107.737	72.7354	72.2354
BOU-S	MOB-G	TES-M	0.0974786	1.36446	0.172424	0.0271639	129.086	61.8444	50.8583
TES-S	BOU-S	MOB-G	0.0445058	0.958076	0.338024	0.0138936	277.276	39.9136	36.5122
BOU-S	MOB-G	TRE-F	0.00820014	0.132108	0.894899	0.00373324	118.21	66.5975	65.5141
MOB-G	BOU-S	TRQ-F	0.0117564	0.193248	0.846765	0.00503534	121.128	63.9475	62.4613
BOU-S	MOB-S	MTB-F	0.0315553	0.514439	0.606945	0.0137909	215.848	51.7977	48.6287
MOB-S	BOU-S	PAS-C	0.0531455	0.950557	0.341829	0.0191186	237.36	50.3434	45.2624
MOB-S	BOU-S	REN-C	0.00306199	0.0418931	0.966584	0.000422534	310.012	33.0131	32.8115
MOB-S	BOU-S	REN-HC	0.035587	0.555567	0.578507	0.00530288	307.967	34.3712	32.0089
REN-HS	BOU-S	MOB-S	0.129589	3.5529	0.000381002	0.184879	60.4094	116.495	89.7658
REN-S	BOU-S	MOB-S	0.109877	2.6406	0.0082759	0.15766	62.5773	110.647	88.7393
MOB-S	BOU-S	RGG-C	0.0380178	0.650936	0.515088	0.0155218	225.585	52.1105	48.2933
RGG-S	BOU-S	MOB-S	0.00336037	0.0828979	0.933933	0.0033606	168.131	60.5664	60.1607
MOB-S	BOU-S	SLV-F	0.0484595	0.816692	0.414104	0.0141914	237.647	51.5853	46.8168
BOU-S	MOB-S	SLV-M	0.0301956	0.445753	0.655776	0.00605758	239.615	41.2647	38.8457
MOB-S	BOU-S	SLV-O	0.0562736	0.416641	0.676941	0.00131933	219.942	10.8175	9.66485
MOB-S	BOU-S	SNM-C	0.0791909	1.51035	0.130955	0.0249775	226.548	49.0535	41.8544
BOU-S	MOB-S	SNM-M	0.0658647	0.975181	0.329471	0.0123787	245.134	42.2172	36.9996
BOU-S	SNM-S	MOB-S	0.0329332	0.809868	0.418016	0.033415	155.883	63.378	59.3366
MOB-S	BOU-S	TES-C	0.0849109	1.52411	0.127481	0.0317543	219.74	55.0419	46.4261
BOU-S	MOB-S	TES-M	0.0522484	0.779336	0.435782	0.00975522	244.878	41.3509	37.2444
BOU-S	TES-S	MOB-S	0.0297714	0.701223	0.483164	0.0290584	168.231	60.7954	57.2801
MOB-S	BOU-S	TRE-F	0.0544343	1.02688	0.304478	0.0177648	236.262	52.0366	46.6639
MOB-S	BOU-S	TRQ-F	0.0614821	1.03041	0.30282	0.0191585	241.631	50.6357	44.77
PAS-C	MTB-F	BOU-S	0.135134	2.70234	0.00688526	0.0451728	160.765	68.3899	52.1067
MTB-F	BOU-S	REN-C	0.0104488	0.131333	0.895512	0.0020352	164.537	47.2651	46.2876
MTB-F	BOU-S	REN-HC	0.0398897	0.486155	0.626857	0.00849136	159.534	49.8667	46.041
BOU-S	REN-HS	MTB-F	0.0111769	0.179183	0.857794	0.0058579	170.626	60.6246	59.2844
BOU-S	REN-S	MTB-F	0.0962391	1.73898	0.0820391	0.0479411	171.663	62.738	51.7224
RGG-C	MTB-F	BOU-S	0.0147861	0.32014	0.748862	0.00506438	177.686	60.2133	58.4586
RGG-S	BOU-S	MTB-F	0.0600496	0.955959	0.339093	0.0182078	312.319	37.6607	33.3939
SLV-F	MTB-F	BOU-S	0.125585	3.0206	0.0025227	0.0396475	166.474	63.6516	49.448
BOU-S	SLV-M	MTB-F	0.082849	1.38809	0.16511	0.070214	50.5453	103.495	87.6581
BOU-S	MTB-F	SLV-O	0.00673649	0.0475932	0.96204	0.000202908	178.41	13.2099	13.0331
SNM-C	MTB-F	BOU-S	0.081343	1.69143	0.0907546	0.0257499	163.367	59.804	50.8066
BOU-S	SNM-M	MTB-F	0.0517838	0.900729	0.367732	0.0445438	49.8058	102.116	92.0612
SNM-S	BOU-S	MTB-F	0.0199667	0.298153	0.765586	0.00617771	300.87	36.3686	34.9448
MTB-F	TES-C	BOU-S	0.0273355	0.606745	0.54402	0.00948566	171.298	60.6884	57.4588
BOU-S	TES-M	MTB-F	0.0664178	1.08971	0.275843	0.0573198	50.0233	104.987	91.9094
TES-S	BOU-S	MTB-F	0.0326164	0.556331	0.577985	0.00962489	313.198	35.375	33.1403
TRE-F	MTB-F	BOU-S	0.118501	2.17335	0.0297542	0.0382955	164.348	64.8562	51.1136
TRQ-F	MTB-F	BOU-S	0.170237	3.64552	0.000266848	0.0518818	161.816	64.6762	45.859
PAS-C	BOU-S	REN-C	0.0314948	0.430448	0.66687	0.00630318	152.082	49.9522	46.9018
PAS-C	BOU-S	REN-HC	0.0867791	1.2286	0.219221	0.0184895	148.378	52.8944	44.4472
REN-HS	BOU-S	PAS-C	0.0725153	1.28869	0.197507	0.0300227	190.442	59.4694	51.4277
BOU-S	REN-S	PAS-C	0.00635797	0.11848	0.905687	0.00260202	191.951	53.444	52.7687
PAS-C	RGG-C	BOU-S	0.12594	2.48981	0.012781	0.0389648	193.544	63.5787	49.3558
BOU-S	RGG-S	PAS-C	0.00328107	0.0612399	0.951168	0.00092571	331.167	36.7157	36.4755
PAS-C	SLV-F	BOU-S	0.0281379	0.509438	0.610445	0.00666599	246.664	44.3374	41.9106
SLV-M	PAS-C	BOU-S	0.160946	2.57093	0.0101425	0.0568143	128.834	76.2264	55.0913
BOU-S	PAS-C	SLV-O	0.0973764	0.761555	0.446326	0.0030129	175.873	14.8465	12.2116
PAS-C	SNM-C	BOU-S	0.0588652	1.0222	0.306686	0.0173706	197.243	56.1596	49.9154
SNM-M	PAS-C	BOU-S	0.194848	3.27789	0.00104587	0.0683643	128.81	79.4632	53.5465
SNM-S	BOU-S	PAS-C	0.031702	0.512933	0.607998	0.00893529	323.523	38.0853	35.7447
PAS-C	TES-C	BOU-S	0.161323	3.02964	0.00244848	0.0526206	186.66	68.3343	49.3493
TES-M	PAS-C	BOU-S	0.197845	3.24534	0.00117311	0.0698904	129.899	80.1964	53.7047
TES-S	BOU-S	PAS-C	0.0281471	0.589558	0.555487	0.00749697	334.529	35.8681	33.9042
PAS-C	TRE-F	BOU-S	0.0264595	0.494869	0.620693	0.00632652	225.659	44.7012	42.3967
TRQ-F	PAS-C	BOU-S	0.0319146	0.561437	0.5745	0.00748917	242.759	44.3348	41.5924
REN-C	REN-HC	BOU-S	0.117987	1.59433	0.110862	0.0127178	420.353	26.2904	20.7413
BOU-S	REN-HS	REN-C	0.063879	0.986708	0.323786	0.0108387	263.779	42.849	37.7034
BOU-S	REN-S	REN-C	0.197809	2.73179	0.00629904	0.0333453	266.303	48.262	32.3218
RGG-C	BOU-S	REN-C	0.0368814	0.474706	0.634997	0.00755807	167.46	51.4246	47.7663
RGG-S	BOU-S	REN-C	0.107776	1.55095	0.120914	0.0115186	405.209	28.6878	23.1057
SLV-F	BOU-S	REN-C	0.0307592	0.363689	0.71609	0.00608389	151.794	48.7458	45.8366
SLV-M	BOU-S	REN-C	0.0648402	0.683003	0.494605	0.0142073	137.867	54.7904	48.1178
REN-C	BOU-S	SLV-O	0.00507364	0.0354387	0.97173	0.000168501	134.017	14.045	13.9032
SNM-C	BOU-S	REN-C	0.0845372	1.05348	0.292119	0.0162416	158.204	50.1469	42.3292
SNM-M	BOU-S	REN-C	0.060354	0.688943	0.490859	0.0134648	134.035	55.8829	49.5214
SNM-S	BOU-S	REN-C	0.0220714	0.272876	0.784949	0.00234847	392.805	25.9109	24.7918
TES-C	BOU-S	REN-C	0.0598794	0.809948	0.41797	0.0117788	170.757	50.5842	44.8686
TES-M	BOU-S	REN-C	0.0646922	0.660634	0.508847	0.0142121	133.989	55.6714	48.906
BOU-S	TES-S	REN-C	0.0290489	0.403809	0.686353	0.00290088	403.658	24.7276	23.3316
TRE-F	BOU-S	REN-C	0.053602	0.666387	0.505164	0.0106773	154.967	50.6103	45.4607
TRQ-F	BOU-S	REN-C	0.0812741	1.09612	0.273026	0.0156516	148.712	50.7353	43.1082
BOU-S	REN-HS	REN-HC	0.030573	0.507062	0.612111	0.00577216	260.248	42.8174	40.277
BOU-S	REN-S	REN-HC	0.150632	2.24344	0.0248682	0.0280973	262.685	47.7749	35.2663
RGG-C	BOU-S	REN-HC	0.0598716	0.763186	0.445352	0.0133107	163.855	53.4723	47.431
RGG-S	BOU-S	REN-HC	0.105155	1.55774	0.119295	0.0123476	402.25	29.203	23.6457
SLV-F	BOU-S	REN-HC	0.070223	0.877519	0.380205	0.014971	147.212	51.5461	44.7817
SLV-M	BOU-S	REN-HC	0.0875387	1.00817	0.313373	0.0208106	133.51	57.3291	48.1
REN-HC	BOU-S	SLV-O	0.0345306	0.250772	0.80199	0.0012915	134.194	16.2778	15.1911
SNM-C	BOU-S	REN-HC	0.120666	1.74292	0.0813484	0.0254521	153.448	53.7532	42.1775
SNM-M	BOU-S	REN-HC	0.0668423	0.797895	0.424931	0.016276	129.778	57.37	50.181
SNM-S	BOU-S	REN-HC	0.0343318	0.457028	0.647651	0.00389026	389.708	25.9735	24.2493
TES-C	BOU-S	REN-HC	0.0965096	1.37792	0.168229	0.0209011	166.445	54.2518	44.7019
TES-M	BOU-S	REN-HC	0.0528285	0.575088	0.565232	0.0126972	130.065	56.2136	50.5722
BOU-S	TES-S	REN-HC	0.0332033	0.481902	0.629876	0.00372281	400.553	25.9349	24.268
TRE-F	BOU-S	REN-HC	0.080956	1.05342	0.292147	0.0175331	149.948	53.0704	45.1212
TRQ-F	BOU-S	REN-HC	0.107295	1.40256	0.160749	0.0224202	144.129	53.0139	42.74
REN-HS	REN-S	BOU-S	0.0537128	1.43363	0.151678	0.0346853	124.651	78.6235	70.6079
REN-HS	BOU-S	RGG-C	0.0821129	1.42934	0.152908	0.0381649	179.4	62.6434	53.1364
BOU-S	RGG-S	REN-HS	0.0043386	0.0956134	0.923828	0.00333962	212.836	50.3014	49.8668
REN-HS	BOU-S	SLV-F	0.094313	1.45557	0.145512	0.0310182	190.127	61.3592	50.7828
